time,n_trips,avg_miles,avg_duration[s]
1327345200,28976.0,2.532635,626.5967
1327348800,26040.0,2.8648777,625.1311
1327352400,21690.0,3.0129294,616.9952
1327356000,19087.0,3.276041,640.00165
1327359600,13715.0,3.654984,660.0599
1327363200,9296.0,3.9076397,667.7222
1327366800,5177.0,3.449091,613.47516
1327370400,3340.0,3.3153381,592.2811
1327374000,2402.0,3.7593553,636.66486
1327377600,2238.0,4.4371715,665.84045
1327381200,3927.0,4.334935,605.57294
1327384800,11530.0,2.885221,544.2561
1327388400,22832.0,2.6388085,651.06665
1327392000,28899.0,2.3526344,734.5497
1327395600,26673.0,2.3540184,747.3778
1327399200,22123.0,2.4181051,723.04224
1327402800,21280.0,2.4308543,718.7474
1327406400,22579.0,2.3189666,693.18604
1327410000,21628.0,2.498393,699.0592
1327413600,23670.0,2.6318507,729.65814
1327417200,23249.0,2.6292627,723.161
1327420800,20308.0,2.6653194,687.7401
1327424400,24190.0,2.4501603,759.16437
1327428000,30737.0,2.3913965,735.5616
1327431600,31206.0,2.5287251,651.7488
1327435200,30028.0,2.765632,629.5467
1327438800,28610.0,2.932913,642.1387
1327442400,25320.0,3.0971923,650.112
1327446000,18658.0,3.2507985,646.2281
1327449600,11728.0,3.3298056,641.1478
1327453200,7057.0,3.2240427,614.02606
1327456800,4663.0,3.2961562,613.59424
1327460400,3195.0,3.5612895,630.354
1327464000,2668.0,4.4420624,671.0255
1327467600,4000.0,4.353608,620.515
1327471200,12117.0,3.064793,558.68097
1327474800,23541.0,2.5909061,625.9566
1327478400,29843.0,2.352775,711.5186
1327482000,27806.0,2.3061132,726.3448
1327485600,23286.0,2.4252822,723.6199
1327489200,22670.0,2.4574225,728.0266
1327492800,23639.0,2.3600967,717.65466
1327496400,22913.0,2.5967007,733.50726
1327500000,24112.0,2.653593,743.15546
1327503600,24166.0,2.7219985,753.3815
1327507200,20682.0,2.7085154,710.656
1327510800,26106.0,2.4575834,724.4379
1327514400,32971.0,2.4352403,714.9826
1327518000,34423.0,2.525986,649.5495
1327521600,32272.0,2.7296114,640.9663
1327525200,31272.0,2.8713112,640.17035
1327528800,28414.0,3.0527806,648.9773
1327532400,21870.0,3.2071157,653.8437
1327536000,14305.0,3.2592895,644.2089
1327539600,8578.0,3.273157,619.7392
1327543200,5380.0,3.2513115,626.76526
1327546800,3521.0,3.6175413,656.7921
1327550400,3062.0,4.256355,674.7769
1327554000,4221.0,4.4336267,637.2687
1327557600,12477.0,3.0602326,567.70306
1327561200,23611.0,2.6356196,649.57056
1327564800,29457.0,2.384539,754.71515
1327568400,27283.0,2.3108444,780.33325
1327572000,24062.0,2.3789158,746.8039
1327575600,23567.0,2.424784,745.7763
